id,name,address_formatted,address_city_state_zip,address_street,address_city,address_state,address_zipcode,contact_phone,contact_email,contact_website,tea_school_district_name,tea_school_district_number,tea_county_name,tea_esc_region,address_county,address_region,location_lat,location_lng,vendorType,vendorTypes,type,displayGradeRange,minGrade,maxGrade,isPreK,isElementary,isMiddle,isHigh,costOptions,description,serviceType,subjectsTaught,pricingModel,price,pricingNotes,isProductionReady,curricularClassification,bonusTagsRaw,directPayMarketplace,additionalLocations,financial_minAnnualTuition,financial_maxAnnualTuition,academics_studentGrowth,academics_attendanceRate,academics_graduationRate,academics_studentTeacherRatio,academics_retentionRate
rec0YoQyX6CEiTuKN,Las Colinas Childrens Academy,"1403 W Walnut Hill Ln, Irving, TX, 75038","Irving, TX 75038",1403 W Walnut Hill Ln,Irving,TX,75038,(972) 870-1616,lccatx@yahoo.com,https://www.lccatx.com,Irving ISD,057912,Dallas,11,Dallas County,Dallas-Fort Worth,32.8849515,-96.97364789999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0ZYdzrsI2jMPkv,Radford School,"2001 Radford St, El Paso, TX, 79903","El Paso, TX 79903",2001 Radford St,El Paso,TX,79903,(915) 565-2737,mxcastruita@radfordschool.org,https://www.radfordschool.org,El Paso ISD,071902,El Paso,19,El Paso County,El Paso Area,31.7948938,-106.4382677,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0b00SnG1QGtTF5,Country Kids Academy,"21002 Encino Cmns, San Antonio, TX, 78259","San Antonio, TX 78259",21002 Encino Cmns,San Antonio,TX,78259,(210) 403-2458,director@ckasat.com,https://countrykidsacademy.com,North East ISD,015910,Comal,13,Bexar County,San Antonio Area,29.636612,-98.45085139999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,"""CKA is dedicated to providing loving and educational childcare ""second only to a parent's best."" Our mission is to provide a clean, safe, stimulating, and fun environment allowing young children to flourish! Our programs educate the whole child through approaches that address multiple learning styles (visual, auditory, kinesthetic, linguistic).
 ",local,,,,,True,,,,,,,1,0.97,,,0.98
rec0bKs86ZFJ6q6UD,Kerrville's Bright Beginnings,"551 Meadowview Ln, Kerrville, TX, 78028","Kerrville, TX 78028",551 Meadowview Ln,Kerrville,TX,78028,(617) 817-4011,felipe@sflearningcenter.com,https://usabrightbeginnings.com/kerrville,Kerrville ISD,133903,Kerr,13,Kerr County,San Antonio Area,30.0278799,-99.1198325,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0fUbjtxKJi9IuF,Children's Education Center,"4000 N Sugar Rd, Pharr, TX, 78577","Pharr, TX 78577",4000 N Sugar Rd,Pharr,TX,78577,(956) 702-5144,belgar_ccs19@yahoo.com,,Pharr-San Juan-Alamo ISD,108909,Hidalgo,1,Hidalgo County,Rio Grande Valley,26.2304836,-98.1897333,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0fumDhVcXXnHj9,Lil Leopards Learning Ladder,"1305 E Broadway St, Gainesville, TX, 76240","Gainesville, TX 76240",1305 E Broadway St,Gainesville,TX,76240,(940) 391-2819,amanda@lil-leopards.com,https://www.lil-leopards.com,Gainesville ISD,049901,Cooke,11,Cooke County,North Texas,33.6259581,-97.13172080000001,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0hanAG3TUNX9s0,Endless Discoveries Glen Rose,"200 Commerce St, Glen Rose, TX, 76043","Glen Rose, TX 76043",200 Commerce St,Glen Rose,TX,76043,(254) 436-8036,k.carnes@endlessdiscoveriescdc.com,https://www.endlessdiscoveriescdc.com,Glen Rose ISD,213901,Hood,11,Somervell County,Dallas-Fort Worth,32.2463283,-97.7443026,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0jEmymh16i3Cb2,Rock Star Daycare Preschool,"1509 Bailey Ave, Dumas, TX, 79029","Dumas, TX 79029",1509 Bailey Ave,Dumas,TX,79029,+18064219797,meudydaycare@gmail.com,,Dumas ISD,171901,Moore,16,Moore County,Panhandle,35.87948799999999,-101.9552687,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,"Mission
Rock Star Daycare Preschool is dedicated to serving working families with high-quality childcare.  We believe in developing the whole child through physical, social, emotional, cognitive, and linguistic practices, facilitated by daily interactions.  
Excellent childcare depends upon consistent caregiving. The program is designed to include all children, including those with minimal disabilities and unique learning and developmental needs.  We want your child(ren) to be their own Rock Star.
",local,,,,,True,,,,,9100,9100,1,1,,12,1
rec0kXwBurkouZpKW,Spirit Life Academy,"925 Nas Dr, Corpus Christi, TX, 78418","Corpus Christi, TX 78418",925 Nas Dr,Corpus Christi,TX,78418,(361) 334-7476,spiritlife.john0663@gmail.com,https://www.spiritlife-academy.org,Flour Bluff ISD,178914,Nueces,2,Nueces County,South Texas,27.6707469,-97.2821847,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0n3cf8UoWiFVyD,Cadence Academy Preschool Of Bent Tree,"17275 Addison Rd, Addison, TX, 75001","Addison, TX 75001",17275 Addison Rd,Addison,TX,75001,(972) 931-0868,director.benttree@cadence-academy.com,https://www.cadence-education.com/locations/tx/addison/311,Dallas ISD,057905,Collin,10,Dallas County,Dallas-Fort Worth,32.9868862,-96.83087929999999,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0nIfa3Uafcs6A5,Summit Christian Academy Of Cedar Park,"2121 Cypress Creek Rd, Cedar Park, TX, 78613","Cedar Park, TX 78613",2121 Cypress Creek Rd,Cedar Park,TX,78613,(512) 250-1369,jkelsey@summiteagles.org,https://summiteagles.org,Leander ISD,246913,Burnet,13,Williamson County,Austin Area,30.4771357,-97.8477551,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0qdzBx3M3n0WXc,Shoreline Learning Center,"15201 Burnet Rd, Austin, TX, 78728","Austin, TX 78728",15201 Burnet Rd,Austin,TX,78728,(512) 681-3255,kathy.smith@shoreline.net,https://www.shorelineearlylearningcenter.com,Pflugerville ISD,227904,Williamson,13,Travis County,Austin Area,30.4587818,-97.6933304,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0teErbvaQ0loRA,Elite Therapy Center,"601 W Loop 340, Waco, TX, 76712","Waco, TX 76712",601 W Loop 340,Waco,TX,76712,(254) 399-8255,kalyn.morgan@elitetherapycenter.org,https://www.elitetherapycenter.org,Midway ISD (McLennan),161903,Mclennan,6,McLennan County,Central Texas,31.5077798,-97.1845958,Therapy,Therapy,,,,,,,,,,"Outpatient Pediatric Therapy Clinic - Offering Physical Therapy, Occupational Therapy, and Speech Therapy",local,,,,,True,,Therapy: Occupational; Therapy: Physical; Therapy: Speech,,,,,,,,,
rec0uQ1a8LUec3caz,Children's Lighthouse Learning Center At Grand Mission,"7307 Grand Mission Blvd, Richmond, TX, 77407","Richmond, TX 77407",7307 Grand Mission Blvd,Richmond,TX,77407,(281) 232-7733,fisk@childrenslighthouse.com,https://childrenslighthouse.com/grandmission,Lamar Cons ISD,079901,Harris,4,Fort Bend County,Houston Area,29.6979771,-95.7180186,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0zNBSPa55fGXr1,Little Farmers Learning Center,"1391 Business 78, Farmersville, TX, 75442","Farmersville, TX 75442",1391 Business 78,Farmersville,TX,75442,(972) 782-8118,info@littlefarmers.com,https://littlefarmers.com,Farmersville ISD,043904,Collin,10,Collin County,Dallas-Fort Worth,33.180051,-96.3672283,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec0zmu32f2ykhcDY,Kreative 4 Kidz,"8806 Homestead Rd, Houston, TX, 77016","Houston, TX 77016",8806 Homestead Rd,Houston,TX,77016,+18329257986,kreative4kidz@yahoo.com,,Aldine ISD,101902,Harris,4,Harris County,Houston Area,29.8411208,-95.30172650000002,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,"MY CHILD CARE PHILOSOPHY 
As a childcare provider, my goal is to provide a safe and happy place for children where they can learn and grow physically, emotionally, intellectually, and socially at their own pace. I believe children learn through play and benefit from a structured yet flexible schedule. Activities will be 
offered which stimulate sensory motor development, language development and social interaction. The development of strong self-esteem is also a major goal. We will always provide an atmosphere that will allow children to be themselves using a manner able behavior.",local,,,,,True,,,,,1000,1200,0.9,0.95,,15,0.95
rec12SU3KqseTrfNw,Baytown Christian Academy,"5555 N Main, Baytown, TX, 77521","Baytown, TX 77521",5555 N Main,Baytown,TX,77521,(281) 421-4150,headmaster@gobca.org,https://www.gobca.org,Goose Creek Consolidated ISD,101911,Harris,4,Harris County,Houston Area,29.7852655,-94.96524640000001,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,"BCA promotes high academic standards while helping the students to achieve skills in creative and critical thinking, using the best-integrated curriculum available.",local,,,,,True,,,,,6500,9000,0.98,0.98,1,16,0.98
rec12yux4qX7mPRuZ,All Saints Episcopal School Tyler,"2695 Ssw Loop, Unit 323, Tyler, TX, 75701","Tyler, TX 75701","2695 Ssw Loop, Unit 323",Tyler,TX,75701,(903) 579-6000,admissions@all-saints.org,https://www.allsaintstyler.org,Tyler ISD,212905,Smith,7,Smith County,East Texas,32.324774,-95.34168749999999,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,"At All Saints Episcopal School, our approach transcends traditional education by nurturing the whole child—academically, spiritually, artistically, and athletically. We’re dedicated to cultivating well-rounded individuals who are prepared not just for success, but to make a meaningful impact in their communities and beyond. Join us in fostering a lifelong love of learning and personal growth at All Saints.",local,,,,,True,,,,,12975,20455,,,1,6,0.93
rec1AonKqMLanSbDk,Kiddie Academy Lakes Of Savannah,"5158 Savannah Pkwy, Rosharon, TX, 77583","Rosharon, TX 77583",5158 Savannah Pkwy,Rosharon,TX,77583,+18325694847,Lakesofsavannah@kiddieacademy.net,https://kiddieacademy.com/Lakesofsavannah,Alvin ISD,020901,Harris,4,Brazoria County,Houston Area,29.5113139,-95.4356909,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,"Pre-K & Kindergarten (Life Essentials®)
At Kiddie Academy of Lakes of Savannah, our Pre-K and Kindergarten programs ignite a love of learning through our Life Essentials® curriculum where strong academics meet character, confidence, and curiosity. We don’t just prepare children for school; we equip them for life with hands-on discovery, leadership skills, and a warm, values-driven community that feels like family.",local,,,,,True,,,,,10000,13500,0.9,0.95,1,15,1
rec1Be84y3bDcOt5m,Reach Advocacy And Instruction,"4040 Starlight Creek Dr, Celina, TX, 75009","Celina, TX 75009",4040 Starlight Creek Dr,Celina,TX,75009,(919) 793-8276,ebarnes.teach@gmail.com,https://www.reach-goals.com,Prosper ISD,043912,Collin,10,Collin County,Dallas-Fort Worth,33.269399,-96.788651,Tutoring,Tutoring,,,,,,,,,,"I provide instructional services to help students with reading and writing skills, including phonemic awareness, phonics, spelling, fluency, reading/writing comprehension, and paragraph development. I am a certified special education teacher, and I understand the importance of being flexible in my lessons. I will change and adjust my lessons to the individual needs of my students. I teach using a multisensory approach to make sure I reach all of their unique learning styles. I also incorporate executive functioning skills and positive behavior management into each of my lessons to help my students learn how to approach assignments, complete tasks, think about their own learning, and maintain attention during lessons. I want all my students to enjoy learning and build self-confidence.",local,,,,,True,,Tutoring: English/Language Arts,,,,,,,,,
rec1CHQSxx3sPZWEh,Everyday Speech,"1515 E Cesar Chavez St, Ste 100 # 1008, Austin, TX, 78702","Austin, TX 78702","1515 E Cesar Chavez St, Ste 100 # 1008",Austin,TX,78702,(617) 564-3143,purchasing@everydayspeech.com,https://everydayspeech.com,Del Valle ISD,227910,Travis,13,Travis County,Austin Area,30.2583151,-97.72888379999999,Enrichment,Curriculum; Enrichment,,,,,,,,,,"* Everyday Speech is a no-prep digital curriculum designed to accelerate the acquisition and generalization of social, emotional, and communication skills for PK-12 learners of diverse ability levels. The MTSS-aligned curriculum combines evidence-based video modeling, interactive web games, and digital and printable worksheets to make it easy for special educators, speech-language pathologists, and other student support services specialists to support every student and every tier. Everyday Speech is trusted by 55,000 educators across 5,000 districts for one-on-one interventions, small groups, and whole-class lessons that engage students.",online,,,,,True,,,,,,,,,,,
rec1Dlv7ui5TeNJN2,Omega Leadership Academy,"3737 Roosevelt Ave, San Antonio, TX, 78214","San Antonio, TX 78214",3737 Roosevelt Ave,San Antonio,TX,78214,(210) 923-2292,r.salmon@omegachurch.com,https://omegachurch.com/ola,Harlandale ISD,015904,Bexar,13,Bexar County,San Antonio Area,29.35002979999999,-98.481882,Schools,Schools,Private School,Grades K–12,0,12,False,True,True,True,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec1Fl0hiVkbAvR8W,Legacy Christian Academy Beaumont,"8200 Hwy 105, Beaumont, TX, 77713","Beaumont, TX 77713",8200 Hwy 105,Beaumont,TX,77713,(409) 924-0500,jarmstrong@legacychristianacademy.org,https://www.legacychristianacademy.org,Beaumont ISD,123910,Hardin,5,Jefferson County,East Texas,30.1338407,-94.2039135,Schools,Schools,Private School,Grades PreK–12,-1,12,True,True,True,True,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec1FuTiDhTtkvSk0,My King's Kids Academy,"6255 Wichita St, Forest Hill, TX, 76119","Forest Hill, TX 76119",6255 Wichita St,Forest Hill,TX,76119,(817) 531-3027,mykingskids@hotmail.com,https://www.kingskidscenters.com,Everman ISD,220904,Tarrant,11,Tarrant County,Dallas-Fort Worth,32.6663448,-97.2798645,Schools,Schools,Private School,Grades PreK–PreK,-1,-1,True,False,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec1I8ZBKD800gZEz,Mathnasium Of Kyle,"5401 S FM 1626, # 180, Kyle, TX, 78640","Kyle, TX 78640","5401 S FM 1626, # 180",Kyle,TX,78640,(979) 571-8752,jennifer.speer@mathnasium.com,https://mathnasium.com/kyle,Hays Cons ISD,105906,Hays,13,Hays County,Austin Area,30.0169282,-97.86322159999999,Tutoring,Tutoring,,,,,,,,,,Math tutoring,local,,,,,True,,Tutoring: Math,,,,,,,,,
rec1IW4n6FgkWsIAV,Camp Blessing Texas,"7227 Camp Blessing Ln, Brenham, TX, 77833","Brenham, TX 77833",7227 Camp Blessing Ln,Brenham,TX,77833,(281) 259-5789,rachel@campblessing.org,https://www.campblessing.org,Brenham ISD,239901,Washington,6,Washington County,Central Texas,30.2737101,-96.31373889999999,Enrichment,Enrichment,,,,,,,,,,"Come join us for an unforgettable week at Camp Blessing Texas! We are a Christian summer camp serving individuals with special needs in a safe, barrier-free, and fully adaptable 1:1 environment. Campers arrive Tuesday afternoon and stay through Saturday morning, enjoying meaningful friendships, fun activities, and life-changing experiences.",local,,,,,True,,Enrichment: Neurodivergent-Focused,,,,,,,,,
rec1IpHkzZMSuIIQd,Citizens Of The Kingdom Childcare Center,"2221 W Arkansas Ln, Ste 106B, Pantego, TX, 76013","Pantego, TX 76013","2221 W Arkansas Ln, Ste 106B",Pantego,TX,76013,(817) 968-0818,tholcc_2019@yahoo.com,,Arlington ISD,220901,Tarrant,11,Tarrant County,Dallas-Fort Worth,32.707214,-97.14339059999999,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec1LWitmFPS5ftuV,Primrose School Of Friendswood,"1409 S Friendswood Dr, Friendswood, TX, 77546","Friendswood, TX 77546",1409 S Friendswood Dr,Friendswood,TX,77546,(281) 648-7773,director@primrosefriendswood.com,https://www.primrosefriendswood.com,Friendswood ISD,084911,Harris,4,Galveston County,Houston Area,29.5131938,-95.18853589999999,Schools,Schools,Private School,Grades PreK–K,-1,0,True,True,False,False,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec1NeREO0KjGb8LY,D.A.V. Montessori,"14375 Schiller Rd, Houston, TX, 77082","Houston, TX 77082",14375 Schiller Rd,Houston,TX,77082,(281) 759-3286,davmontessori@gmail.com,https://davhouston.org,Lamar Cons ISD,079901,Harris,4,Harris County,Houston Area,29.7174966,-95.6414214,Schools,Schools,Private School,Grades PreK–5,-1,5,,True,,,EFA-Eligible,,local,,,,,True,,,,,,,,,,,
rec1SRiAz6HA7yqEe,Karnada L Lewis,"539 W Commerce, Ste 7960, Dallas, TX, 75208","Dallas, TX 75208","539 W Commerce, Ste 7960",Dallas,TX,75208,(903) 931-1774,karnadallewis.llc@gmail.com,https://karnadallewisllc.wixsite.com/my-site-1,Dallas ISD,057905,Dallas,10,Dallas County,Dallas-Fort Worth,32.7733009,-96.833338,Therapy,Therapy,,,,,,,,,,"To reach children and adults of all ages, offering support to individuals from diverse backgrounds and with various mental and physical disabilities. We believe in empowering everyone through engaging and purposeful activities that enhance their quality of life holistically.",local,,,,,True,,Therapy: Behavioral,,,,,,,,,
