vendor_id,notable_achievement
rec2Atg9AQeWSrg4v,"Students learn at twice the speed of traditional schools with only 2 hours of academics a day (measured by NWEA MAP growth test). Once they finish their 2 hours of academics, they unlock the rest of the day for the activities they love!"
rec2zivIrLDvMJRrO,"✔ Provider of the Year (2024)
✔ BISD Pre-K Partner since 2020
✔ Texas Rising Star 4-Star Program
✔ ECI Partner
✔ Approved Lamar Institute Childcare Practicum Site"
rec36gswkz9393REx,"At Lycée International de Houston (LIH), we recognize that in today’s global society, multilingualism is a vital asset. Our curriculum is designed to provide students with a strong foundation in multiple languages, ensuring they develop the linguistic skills necessary to thrive in an interconnected world.  Additionally, we offer courses in Spanish, Arabic, Mandarin, and German, expanding students’ linguistic and cultural competencies."
rec39ZvKfzpamRMsn,"Blessed Sacrament Catholic School is proud to participate in the UIW Brainpower Connection, a partnership with the University of the Incarnate Word designed to strengthen Catholic education. This connection provides our students and teachers with access to enhanced academic resources, professional development, and innovative learning opportunities, while offering families the confidence of a supported, high-quality educational pathway rooted in faith."
rec3DsHo7uBBcw12R,"Recognized as a National Blue Ribbon School;  Numerous National Merit Scholars; Exceeds national ACT scores by 6 points on average; 100% College Acceptance rate; Professional Schools Program is an immersive hands on learning experiences, industry-recognized certifications and real-world applications; Students can earn over 85 hours of college credits (AP/Dual Credit); Distinctive Learning Support and Gifted & Talented Program"
rec3LREfvn91mEbB1,"Excellent, above age level results in standardized testing (IOWA Test). Our Montessori programs foster a creative, highly motivated and independent thinkers. Students have performed extremely well in later ages and higher learning including alumni having admitted to St. Johns, Kinkaid and Awty and college diplomas received from Harvard, Duke, Stanford, UT-Austin, Texas A&M, NYU and Northwestern."
rec3kgDfGHKqthhb5,"At St. Joseph School, academic excellence is at the heart of everything we do. For over 40 years, our students have consistently excelled, earning top honors as valedictorians and salutatorians at their local high schools and receiving full-ride scholarships to prestigious colleges, including Ivy League institutions. Our students shine not only in the classroom but also in academic competitions at the local, state, and national levels, consistently placing at the top in events such as National History Day, Decathlons, Speech and Debate Tournaments, Spelling Bees, and more. At St. Joseph, we cultivate curiosity, critical thinking, and a love for learning, empowering students to achieve their fullest potential and become leaders who excel academically and personally."
rec3odCobz94ltJNv,"Texas School Ready Coaching
Texas Rising Star 4
NAYCE Accredited
-Pending- National Accreditation"
rec3qrmY6jii23yIO,"Our graduates consistently demonstrate strong academic momentum, with 99% completing high school on schedule."
rec4XE5hHk8HPAI7K,"Country Home Learning Center participates in the Texas School Ready Program, and is accredited through Texas Rising Star, and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
rec54EeKcQpptuaJU,"Our students scored in the top 16% of the nation in math and Language Arts on the Classic Learning Test (CLT).

National Merit Scholar, Semi Finalist, and Finalist on the SAT."
rec5BykijJsnCuaz5,"Improved developmental outcomes for multiple children by strengthening behavior regulation, speech development, and fine and social motor skills through individualized instruction and consistent progress monitoring."
rec5Oab5zOnQNH46V,Dual Credit available ON CAMPUS with our own teachers
rec5bBezcYyk0hu3C,IMC accreditation (International Montessori Council)
rec5fjrs3eO2oSqnu,"American Montessori Society Accredited School; Texas Health and Human Services licensed Toddler Program; NAIS member school; NBOA member school

Student Assessments Given: Aimsweb+, IOWA, and individualized narratives"
rec5mAjx3lQoqZfan,NAEYC (National Association for the Education of Young Children) Accredited & 4 Star TRS (Texas Rising Star)
rec612QGYDIenmkuP,4 star rating with TWC
rec61lV1MeyYvxN5f,"NJHS Chapter
Compete in PSIA"
rec62LDUfJHMd4CSS,"Kids leave our school kindergarten ready, beginner readers, sight word recognition, writing full name, addition, subtraction, fractions, compound words, count up to 100 by 5's & 10's"
rec67w4UrKMgaZ33T,Oak Crest Private School won first place in the Explore Horizons DFW areawide math competition and has had state finalists for three years in the annual Zaner-Bloser handwriting competition for both manuscript and cursive.
rec6BfLYkUoBzNAQP,State Participants in PSIA
rec6UTNItbIz4w8sI,The school's test scores on the PSAT and SAT consistently rank higher than both state and national averages. The school also provides a variety on dual credit and AP courses.
rec6isYpYcMfTsNI3,This early learning center is an accredited Texas Rising Star 4 Star Center!
rec6nfYFHBMEWj7mI,"By graduation, NDS students complete over 2,200 hours of hands-on job training, working at real job sites with the support of a job coach."
rec6qPv4v1HbpDI5m,Quality education is a defining characteristic of Cornerstone. It is our hope that students are challenged to grow and explore as they continue in the journey of life-long learning. In the classroom students we have the opportunity to learn from high-level curriculum and amazing teachers. In a school year students also get to explore opportunities to learn outside the classroom through fieldtrips and college dual-credit courses.
rec7FggskiGwYrNMx,"Each year, graduates of Ascension Academy achieve 100% acceptance into their top-choice colleges and universities. Over the past five graduating classes, 95 students have been accepted to an average of 34 colleges and universities and have been offered an average of $1,900,000 in merit-based scholarships per graduating class. Students can graduate as an AP Scholar, earn an AP Capstone Diploma, complete 1-2 years of college credit, and earn an associate’s degree. In addition to membership in all traditional honor societies, Ascension Academy is one of only 382 schools worldwide to hold the Cum Laude Society distinction. Over the years, numerous Ascension students have been named National Merit Scholars, including three finalists and two commended scholars in the most recent years. We are proud to live our mission every day, maximizing the potential of all Ascension Cardinals as scholars, artists, athletes, and leaders."
rec7IeVUaC4uJHmLJ,"Einstein’s Academy takes pride in providing the highest quality education, focusing on the growth and development of every learner. We empower children to achieve physical, cognitive, social, and emotional milestones in a safe and nurturing environment. Our qualified staff fosters a positive learning climate that encourages curiosity, inquiry, and confidence, motivating each child to reach their individual potential.
We are proud to be a Texas Rising Star 4-Star provider, committed to maintaining the highest standards of early childhood education and preparing children for future academic success."
rec7xKTxDPGmg3Bcc,Texas Rising Star rating of 4
rec8Sw9XkiQAkTemj,"We are private, nationally accredited prekindergarten program.  We utilize a high quality curriculum and use developmental assessment throughout to ensure our students are meeting their developmental milestones.  Children are encouraged to experience learning through play.  Our students leave Tot's Haven Christian Academy ready for Kindergarten both academically and socially."
rec8ZVoEjN3K1fy5J,"Oner the past 10 years, O'Connell graduates have received many distinctions ncluding the following:
National Merit Scholar 
Commended Merit Scholar
National School Recognition Award
National African American Merit Scholar
National Hispanic Merit Scholar
National Rural and Small-town Merit Scholar
Over 11 million dollars of scholarships awarded to our HS seniors over past 10 years.
An opportunity to earn 39 college hours throuh the dual credit program.
2025 State Basketball Champions"
rec9A5yzbFFW8i92B,"Through the years, WDCS has produced students who have earned scholarship to attend some of the best private high schools in the DFW area. Our reading program has been particularly exceptional at serving low and middle income students with around 80% of our students from 1st-4th grade reading at or above grade level, and many of our 8th grade students will graduate with reading comprehension at a college level."
rec9Yq6FHZEQNdtOA,"Texas Rising Star rated school.  Students also attend gym, music, Spanish, and computer classes weekly.  Chapel services are held weekly and Bible lessons are integrated into the classroom curriculum.  Summer program offered in June and July."
rec9fdzkKS7F930em,"Country Home Learning Center is accredited through Texas Rising Star and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
rec9jANO4LMSpURR3,"At MIS students receive formation for mind, body, and soul. Students have opportunities to participate in the Private School Interscholastic Association, school/Diocesan Spelling Bees, school/Diocesan Science Fair, and the Religion Scholars Bowl."
rec9lJ1mbhtPcBlTp,"We are licensed with Texas Health and Human Services Child Care Licensing; we are a 4-Star Texas Rising Star Provider and follow Pre-Kindergarten Standards; we collaborate with University of Texas Health, we collaborate with Children's Learning Institute, and Texas Workforce Solutions, and community leaders in our  area."
rec9pJqUOFc5OMOHZ,High achieving Iowa scores.
recAFfBoSuOIyF3Kv,We are 4 Star Texas Rising Star School!
recAWcSyREtyfzhDP,Several former students have returned as teaching staff.
recAZjCZnUKpsjYRH,"Student of the Month Awards
Pre K Graduations"
recAbXiKy5jw4klv0,Edutainment is currently completing system-wide Cognia accreditation to support academic quality and continuous improvement across programs.
recAeZqt54bhTJyY0,St. Luke achieves above average on the NWEA MAP tests consistently. St. Luke has an active intervention program designed to offer support as early as PK. Students are offered intervention as long as they need support. St. Luke graduates are notoriously high achievers in high school and beyond.
recB6XBo1GoVtg41x,"COGNIA certification
Texas Rady School (TRS) certification
Structured curriculum
Outdoor activities"
recBY8CE3j1KmfWok,Virtually 100% of our students continue their education in the college of their choice.
recBoKdl1EJtAqbOB,"Texas School Ready, Texas Rising Star 4 Star Rating, Center of Excellence, Neurodiversity Children's Conference Participant"
recBufKIq9zpMSsci,"1. Superior Testing Results (2025 Data)
TVS students consistently achieve scores that place them in the top tier of students worldwide.

AP Excellence: 91% of students scored a 3 or higher on AP exams (the benchmark for college credit). The school’s average AP score was 4.02, significantly higher than the global average of 3.03.

IB Diploma Program: The Class of 2025 achieved a 92% pass rate in the IB Diploma Programme, with 24% of students scoring above 40 points—a feat accomplished by only 4% of students globally.

SAT/ACT Performance: Students maintain an average SAT score of 1350 and an average ACT of 32, both of which are well above national averages for college readiness.

2. Record-Breaking College Success
The Class of 2025 set a new school record by earning $67 million in scholarships.

Matriculation: Students were accepted into prestigious ""Ivy Plus"" and top-tier institutions, including MIT, Columbia, Rice, Cornell, Johns Hopkins, and Imperial College London.

Global Reach: Graduates are attending 70 different universities across 18 U.S. states and 6 countries.

3. Specialized Diploma Distinctions
Beyond the standard high school diploma, TVS offers unique, pre-professional tracks that allow students to specialize early:

Pre-Medical Science Diploma: The Class of 2025 graduated its largest cohort (16 students) to date.

Entrepreneurship & Computer Science Diplomas: These programs provide hands-on internships and project-based learning, preparing students for immediate impact in those fields.

National Merit Scholars: Four students from the most recent graduating class were recognized as National Merit Scholars, a distinction reserved for the top 1% of high school seniors in the U.S.

4. Top-Tier National Rankings
TVS's academic rigor is reflected in its 2025 rankings by Niche:

#15 Best Private K–12 School in America.

#1 Most Diverse Private School in Texas, offering a global perspective with students from over 90 nationalities.

#2 Best STEM High School in Houston, bolstered by their exclusive collaboration with MIT."
recCUVNTDY4SyO191,"With one of the largest dual enrollment programs of any private or public school in north Texas, Bishop Lynch offers students the opportunity to ear college credit while completing high school graduation requirements. The Class of 2025 earned over 4,774 college credit hours--that's over $4.9 million in college tuition savings."
recCa0ZbXQDwEHT19,"Little Explorers Academy has grown into one of the most trusted, high-quality early childhood programs in the North Houston community, known for combining strong academics with a joyful Christian environment. We are accredited from ICAA, International Christian Accrediting Association and certified with a Four-Star Rating from the Texas Rising Star Program—the highest rating available in Texas. Our school is also recognized through the National Association for the Education of Young Children (NAEYC), reflecting our ongoing commitment to excellence in early learning and care."
recCexCYnicBbRBqA,"Participants in Texas Rising Star, Texas School Ready, Lena Grow, and Infant Toddler Specialist Programs; CDA Certifications; Students left Achievers and accepted in Talented and Gifted Programs"
recCjTLtTjucZIGcj,"Many of our graduates have gone on the play professional sports with the NBA, NFL, and MLS. Our Cheer Team won back to back National Championships! Our baseball team won back to back State Championships. We offer trac and field as well as other programs."
recCjYwpyEIJ0YKZ7,We are licensed with Texas Health and Human Services Child Care Regulation; we are 4-Star Texas Rising Star; we collaborate with University of Texas Health; and with Children's Learning Institute; and with Workforce Solutions; and with community leaders in our area.
recCnvfz16J6DFLbq,"# **Notable Academic Achievements at DearOnes Montessori**

### 🌟 **Early Literacy Growth**
- Children demonstrate strong pre‑reading skills, including letter recognition, phonemic awareness, and emergent writing.  
- Consistent progress shown in name writing, sound identification, and early blending activities.  
- Classrooms integrate daily read‑alouds, vocabulary building, and language‑rich conversations.

### 🔢 **Mathematics Readiness**
- Students confidently use Montessori materials to understand counting, number sequencing, quantity, and early operations.  
- Children show mastery of one‑to‑one correspondence, patterning, sorting, and classification.  
- Hands‑on math workstations support independent exploration and problem‑solving.

### 🧠 **Cognitive & Critical Thinking Development**
- Children engage in open‑ended questioning, prediction, observation, and reasoning during lessons.  
- Students demonstrate strong memory, attention, and task‑completion skills through structured routines.  
- Classrooms promote inquiry‑based learning across science, sensory, and practical life activities.

### 🎨 **Creative Expression & Fine Arts**
- Students participate in daily art, music, and dramatic play experiences that strengthen creativity and imagination.  
- Children explore multiple art mediums and develop fine motor control through purposeful materials.  
- Performances, classroom displays, and portfolios highlight student creativity.

### 🌍 **Cultural & Social Understanding**
- Children learn about community helpers, geography, cultural celebrations, and diversity through hands‑on lessons.  
- Students demonstrate empathy, cooperation, and respect during group activities and classroom routines.

### 🧩 **Social‑Emotional Growth**
- Children show strong self‑regulation, turn‑taking, and conflict‑resolution skills.  
- Positive guidance practices help students build independence, confidence, and emotional awareness.  
- Classrooms maintain consistent routines that support security and readiness to learn.

### 🏅 **School‑Wide Academic Strengths**
- High family satisfaction and strong parent partnerships support student success.  
- Teachers maintain ongoing professional development, including TRS‑aligned training and Montessori‑based practices.  
- Classrooms consistently meet or exceed Texas Pre‑K Guidelines and Texas Rising Star standards and National Accreditation.



Just tell me the format you want."
recCv2Z9MU57SQMAt,Part of Texas Rising Stars.
recD79W36ww8cwsAc,2025 Cheryl Lowe Legacy Award for Classical Education.
recDB235hp35PHqfO,"Country Home Learning Center is accredited through Texas Rising Star and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
recDD0akOKzUfPSVQ,"-Honors programs featuring Spanish and Latin options
-High school credits for both private and public high schools
-Blue Ribbon School of Excellence"
recDfgS42lamIoQ8u,"Language Arts Academy offers Spanish immersion for children 2 months to 3 years old. Bilingual Program for children 4 to  7 years old children.
Prek and kindergarten is offered full time
From 6:30 am to 6 pm"
recDs0CK5snVuIaT8,We are Texas Raising Star School and have received 4 out of 4 of stars for having met all the requirements. We go above and beyond to help all our students succeed.
recDtZda1p1zv0aQb,"STCA high school students have earned National Recognition through the National Merit Scholarship Program by taking the PSAT/NMSQT, leading to scholarship opportunities at the universities of their choice. The school offers dual enrollment partnerships with UTRGV and SWAU, with students achieving a 100% passing rate. Graduates complete high school having earned a minimum of 14 college credits, giving them a strong academic advantage beyond graduation."
recE217N46NEVG7n7,"·      In December 2025, our school was named a finalist by Education Insider Magazine for the “Top Private Schools for 2026” for their January 2026 magazine which is for industry professionals and leaders and professionals .

·      In June of 2025, Our Head of School Teresa Bronsky was awarded “Principal of the Year for Excellence in School Development by the World Leaders Summit of the University of Oxford (Keble College) for the incredible work that we are doing at Bridge Builder Academy with our creativity and engaging approach to education, by looking at each student as an individual and developing a long term teaching and learning approach uniquely for each student independent of the other students at their age or grade level.

·      In 2024, Bridge Builder Academy was nominated for an award with D Magazine for its innovative approach to education, fostering critical thinking, creativity, and problem-solving skills in students through hands-on projects and real-world applications in an inviting environment in Richardson, Texas.  Additionally, its inclusive and supportive learning environment promotes diversity and collaboration, preparing students for success in a rapidly evolving world.

·      In 2025, one of our students because only the 2nd student in the history of the NASA HUNCH competition to be awarded 1st Place in the NASA HUNCH competition, which is a nationally operated competition by NASA for high school students to develop projects that can be used on the International Space Station, future Moon and Mars missions.

·      In 2022, we were recognized as a “School of Excellence” after completing our 2nd national and international certification for accreditation with Cognia, who serves more than 40,000 institutions globally with a total of 25 million students and 1 million educators in about 80 counties, which means we were one of the top schools who they accredit.

·      Since 2022, our school has been awarded the Dallas Morning News award for “Best Private School in DFW” for 4 straight years.

·      Over the past 5 years, Bridge Builder Academy has been awarded the “School of Excellence” by National Association of Special Education Teachers, which was only awarded to a total of 7 other schools in the state of Texas of schools that meet their rigorous professional criteria.

·      We have had 3 teachers nominated for the “Presidential Awards for Excellence in Mathematics and Science Teaching, including 2 teachers in 2024-2025.

·      In 2017, Teresa Bronsky, our Head of School was requested by Governor Greg Abbott to serve on his “Continuing Advisory Committee for Special Education” as was the first person who was appointed to the committee to be also named Chair of the committee in their 1st meeting.

·      In 2020 Bridge Builder Academy and Teresa Bronsky, our Head of School was recognized by both Senator Ted Cruz and Congressman Colin Allred for Bridge Builder Academy’s “sterling reputation” and Teresa for her 35 years of devotion to teaching underserved populations and described both as an inspiration to our nation.

·      In 2024, our school became a Certifying Organization for the President's Volunteer Service Award

·      During the COVID pandemic in 2020, 2 of our teachers were recognized by Governor Greg Abbott as “Teaching Superstar”

·      In 2015 Bridge Builder Academy was recognized by both the Texas House of Representatives and the Texas Senate as “one of the leading private institutions of primary and secondary education in the Dallas/Fort Worth area.

·      In 2015 Bridge Builder Academy received a Proclamation from Governor Greg Abbott for its 10-year anniversary of helping education underserved students in the DFW area."
recE5o267nYT8VPra,"96% of students earn honor roll. 
College acceptance is 100%."
recEKOBW4mV54Ka0S,"At St. Augustine Elementary, we are proud of our notable achievements, including a thriving school garden, a growing orchestra program, hands-on robotics, and strong project-based learning that connects academics to real-world problem solving. Our commitment to community outreach and service learning empowers students to serve others, think critically, and live out their faith beyond the classroom."
recETGvJMYpQ64mjv,Over 75% of children who graduate from our program are accepted into top private schools in the area or successfully matriculate into gifted and talented programs within public schools. Families may request references and speak directly with alumni families as proof of student achievement and long-term success.
recETHLR26A6Gj65B,"We are proud to be a 3-Star Texas Rising Star early learning program, recognized for meeting high standards in early childhood education and care."
recEXatmRcL1SyLoA,"The success of our alumni, including countless valedictorians and salutatorians at their respective high schools, as well as business owners, doctors, community leaders, members of the Catholic clergy, former Midland mayors, a current member of the Texas House of Representatives, a former railroad commissioner, and even an Olympian, reflects the strong academic foundation and leadership skills cultivated at St. Ann’s. While attending St. Ann’s, students not only thrive in rigorous core academics but also in a wide range of electives, including the arts, music, foreign language, project-based learning, and STEM."
recEukpDDEjxsF7SI,"Texas Rising Star 4 2020-Present
USDA Child and Adult Care Food Program"
recF3bhl9wfU9hb13,"Notable Academic Achievements

Texas Rising Star 4-Star Rated program, recognizing the highest level of quality in early childhood education

NAEYC Nationally Accredited, meeting rigorous standards for curriculum, teaching, health and safety, and family engagement"
recFmWm3PuovqtPzG,"Over 25% of the Class of 2025 achieved AP Scholar Recognition, and the class earned over 400 hours of college credit.  Our faculty averages over 18 years of experience."
recFvTHtGC71nH7Fu,"Country Home Learning Center is accredited through Texas Rising Star and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
recG0c7a6nNqT9VGW,"-68% of 8th Graders received the President's Award for Educational Excellence in 2024 and 2025.

-98% graduation rate for students going into High school

-Received Niche Best Schools award in 2024"
recG1PfSrxuZLQnSe,"College Board AP School: Gold Honor Roll; Student average ACT and SAT scores consistently higher than the local, state and national averages; 100% student acceptance to colleges and universities; annual student recognition by AP College Board recognition for AP scholars, AP scholars with honor, and AP scholars with distinction; and affiliation with John Hopkins Center for Talented Youth."
recGkNldpI1ug0ZmA,"All grade levels of St. Peter Catholic students take core curriculum classes: Theology, English, Math, History, Science, and Computer Science which are all taught at St. Peter Catholic.

At the end of their 9th grade year, students will choose an Academic Career & Technical Pathway in either Business, Construction, Education, Health Sciences, or Information Technology.

Academic Career & Technical Pathway courses are taught both at St. Peter Catholic through a mix of in-person and online instruction, and in conjunction with our partnership with Houston City College, at several of their campus locations for additional coursework and hands-on skilled training and instruction.

The combination of the core curriculum classes, and the Pathway courses will allow students upon graduation from St. Peter Catholic to earn:

A High School Diploma – from Texas’ first Catholic, co-educational Career & Technical High School

Level 1 Certification – in their chosen Academic Career & Technical Pathway

Possible Associate’s Degree – from Houston City College in their chosen industry field depending on the field they choose

Job Placement – with St. Peter Catholic partner businesses and organizations"
recGsqKqBwxJSnFDp,"Academic competitions available through PSIA, Scripps National Spelling Bee, Coastal Bend Regional Science Fair
Charters for National Junior Honor Society, National Elementary Honor Society
Accredited by the Southwestern Association of Episcopal Schools, Member National Association of Independent Schools"
recGy6NKs4nR7rH7w,Our High School offers Dual Credit classes and the opportunity to graduate with an Associates Degree.
recH2Co3wM9tiVnog,"Our dual-credit students graduate with 30+ college credit hours, giving them a strong head start on their degrees. Students begin reading as early as Pre-K, building a solid academic foundation, and our scholars have proudly participated in Model United Nations, developing leadership, diplomacy, and global awareness skills."
recHK5wI4TzD9YI3f,"Nationally Accredited by the National Association for the Education of Young Children (NAEYC)

Texas Rising Star (TRS) - Four out of four Star Certification

Children who graduate from Kiddie Academy leave confident, curious, and school ready! Our graduates demonstrate strong early literacy and math skills, independence in learning, effective communication, and well-developed social-emotional foundations setting them up to excel as they transition into elementary school and beyond."
recIAah9mcI1Z2A6x,"More than $15 million in scholarships for graduating seniors!
National Merit and College Board Advanced Placement top honors.
Award winning all-girls Robotics Teams.
Art, Writing and Spanish contest winners.
Concentrations and Endorsements in Young Leaders Program, STEM and Distinguished Level of Achievement for graduates."
recIqOnBhsABDBDgy,"Partnerships and Programs that have enhanced St. Louis Catholic School:

Destination Imagination 

2025: St. Louis Catholic School achieved significant success at the 2025 Destination Imagination Global Finals, with our 7th-grade team, ""SNiBLeS,"" securing 2nd place in the Middle Level Improvement Challenge. 

2023: St. Louis Catholic School achieved significant success at the 2023 Destination Imagination Global Finals, with our 5th-grade team ""Macaroni Council,"" achieving a 1st place in the Elementary Level Challenge. 

SLCS Destination Imagination teams have placed and advanced in regional and state Destination Imagination competitions annually. 

SproUTing Teacher Garden Program (University of Texas) 

Bright Green Future Grant Recipient (City of Austin) 

Strong Teens for Healthy School Program (Texas A&M) 

CYO (Catholic Youth Organization) 

CATCH Wellness Program 

Catholic Math League 

Catechesis of the Good Shepherd (Montessori)"
recIwxA58Ybm0zpt8,"National Merit Scholar finalists, All-State Academic winners, State Academic, Speech, and Art finalists, One-Act Play state qualifiers (including current back to back years)"
recIyehwD6U63knVO,"Classic Learning Test (CLT) awards include: 
CLT8 Top 5 School in the Nation: 2022-2023
CLT8 Nationally Ranked School: 2022-2023
CLT10 Regional Scholars: 2023, 2024, 2025
CLT10 Distinguished Scholar: 2025
CLT10 National Award Winner: 2025"
recJOfwv5c8ZuopIm,We are proud to be a 4 Star certified program with Texas Rising Star. Our center is directed and managed by Texas State Board for Educator Certified teachers.
recJp2ejZ6KAyHQjN,"Named to the 2025 AP School Honor Roll - Platinum Status
-88% of seniors taking at least one AP Exam during High School, 70% of seniors earning a score of 3 or higher on at least one AP Exam, 27% of seniors taking 5 or more AP Exams

Nationally Recognized Debate Team

93% of AP Testers earned college credit with a score of 3+ (exceeds the state average by 33%)

$4.8 million in scholarships among 33 graduates (7 student athletes signed)

Recent College Acceptances - Texas A & M, UT, UCLA, West Point, NYU, Northwestern, Rice, Harvard"
recJxpVuRxKfgsYoS,"• Accredited Catholic education — Sts. Peter & Paul Catholic School is accredited through the Texas Catholic Conference Accreditation Commission, recognized by the Texas Education Agency, affirming the school meets high academic and operational standards.  

• Rigorous and student-centered curriculum — The curriculum is intentionally academically challenging and aligned with diocesan expectations, designed to foster strong intellectual growth and lifelong learning habits.  

• High academic standards and assessment practices 
The school promotes elevated educational benchmarks, with frequent assessments and parent-teacher collaboration that support student success and strong intellectual growth. 

• Technology-Enhanced Learning & 1:1 Apple Campus 
Sts. Peter & Paul Catholic School integrates technology into daily instruction through a real-world technology classroom and lab, and as a 1:1 campus, every student is equipped with an Apple iPad to enhance learning, collaboration, creativity, and digital responsibility across all grade levels. 

• Diverse sports offerings for all seasons: Sts. Peter & Paul Catholic School provides a wide range of athletic opportunities across fall, winter, and spring, including cross country, soccer (co-ed), football (6th–8th), volleyball, girls’ & boys’ basketball, baseball, softball, golf, tennis, and track & field, plus spirit programs like cheerleading and pep squad. 

• Support for Diverse Learners 
The Academic Assistance & Resource Center (AARC) provides differentiated learning support, intervention services, and accommodations to help all students reach their academic potential. We also offer “Take Flight,” a specialized dyslexia intervention program, ensuring students with reading challenges receive structured, research-based support to build confidence and academic success. 

• Extracurricular academic enrichment — Offering clubs such as PSIA & CAAC (academic competitions), Chess Club, Show Choir, NJHS, Student Council, Debate/Speech Club, Yearbook, and Choir support skills like critical thinking, creativity, and performance in addition to core academics."
recJzepyfOklZdFh7,"Children who graduate from Kiddie Academy of Richmond leave confident, curious, and First Grade-ready. Our graduates demonstrate strong early literacy and math skills, independence in learning, effective communication, and well-developed social-emotional foundations setting them up to excel as they transition into elementary school and beyond."
recKDqiR65QSyPOJw,"National Merit Scholar and National Merit Qualifier
VFW Award winning writers
Award Winning Engineering Program"
recKQGxLnD2t9k7vf,"Pre-K Program offers a dynamic Christmas program, multiple field trips, Valentine's Dance, Moms with Muffins, Pre-K Graduation, Summer Program (with on site Splash pad *top of the line*)"
recKRPEJ8lpJGaU4S,"Texas Rising Star accredited, Texas School Ready and Houston Area Urban League partnership"
recKkuw4ydeX2eXV6,"King’s Academy Christian School is committed to academic excellence that prepares students for success in higher education and beyond. We are certified by the National Association of University-Model Schools and accredited by Cognia, reflecting our adherence to rigorous academic standards and best practices in education.

Our students consistently perform at a high level, with SAT scores exceeding both Texas and national averages. The Class of 2025 Valedictorian’s acceptance into MIT underscores the strength of our academic program, while 100% of college applicants have been accepted into their desired college or university, including institutions such as MIT, Texas A&M, Baylor University, Abilene Christian University, University of Kansas, University of Texas at Arlington, LeTourneau University, Mary Hardin-Baylor, Stephen F. Austin State University, Oklahoma Baptist University, and more.

These achievements are especially notable within our University-Model® hybrid approach, in which students learn through a purposeful balance of two to three days of on-campus instruction and two to three days of guided at-home learning. This model maximizes instructional quality, fosters academic independence, and strengthens family partnership—equipping students to excel academically while remaining rooted in faith and family."
recKu5rn7E0wMW6vw,"At the Academy of Young Scholars, our students consistently achieve measurable growth in early literacy and math readiness—often entering kindergarten above district benchmarks—while developing strong critical-thinking and social skills that set them up for lifelong success. Our graduates leave confident, curious, and prepared for the next step in their education."
recKxruM5bxb6C4Nl,"Bent Tree Day School is proud to be a Texas Rising Star certified program with a Three-Star rating, recognizing our commitment to a high-quality early learning education. Our program prepares children for Kindergarten through intentional, developmentally appropriate instruction that builds strong foundations in classroom readiness, early literacy, and math. We believe children learn best through hands on experiences, positive guidance, and consistent routines that support each child intellectual, language, social, emotional, physical and creative development."
