id,name,vendorType,vendorTypes,type,serviceType,description,directPayMarketplace,additionalLocations,subjectsTaught,pricingModel,price,pricingNotes,isProductionReady,curricularClassification,bonusTagsRaw,minGrade,maxGrade,isPreK,isElementary,isMiddle,isHigh,displayGradeRange,costOptions,address_street,address_city,address_state,address_zipcode,address_county,address_region,location_lat,location_lng,contact_website,contact_phone,contact_email,financial_minAnnualTuition,financial_maxAnnualTuition,academics_studentGrowth,academics_attendanceRate,academics_graduationRate,academics_studentTeacherRatio,academics_retentionRate
rec0KOtPRdDMj1vKt,Multi-Intelligence Kids College,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,"2235 Thousand Oaks Dr, Ste 115, 118",San Antonio,TX,78232,Bexar County,San Antonio Area,29.5874288,-98.45165659999999,https://www.multi-intelligencekidscollege.com,(210) 895-2862,sharon@multi-intelligencekidscollege.com,,,,,,,
rec0LBIaWrR9tp3f3,Oakdale Private School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,17100 Butte Creek Rd,Houston,TX,77090,Harris County,Houston Area,30.0129152,-95.45691939999999,https://www.oakdaleprivateschool.com,(281) 444-4547,kwildman@oakdaleprivateschool.com,,,,,,,
rec0LFMaeIcVkxL7h,Lena Pope Early Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,3200 Sanguinet St,Fort Worth,TX,76107,Tarrant County,Dallas-Fort Worth,32.7287675,-97.391947,https://lenapope.org/intellectual-well-being/early-learning-centers,(817) 255-2562,mariah.hubbard@lenapope.org,,,,,,,
rec0LP3kPSXc8bvWu,Steamspark Montessori Experience,Schools,Schools,Private School,local,,,,,,,,True,,,-1,6,True,True,True,False,Grades PreK–6,EFA-Eligible,1400 Valley View Ln,Farmers Branch,TX,75234,Dallas County,Dallas-Fort Worth,32.9175262,-96.929575,https://www.steamspark.com,(214) 460-5374,jovan.wells@steamspark.com,,,,,,,
rec0N5OOsmyfC5WCI,Primrose School Of College Station,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,1021 Arrington Rd,College Station,TX,77845,Brazos County,Central Texas,30.5633262,-96.265811,,(979) 485-9876,hchamblee@primrosecollegestation.com,,,,,,,
rec0QpiOMNxuBfxvF,The Goddard School Of Southlake,Schools,Schools,Private School,local,"The Goddard School of Southlake is a private preschool offering exceptional care and education for children from infants through Pre-K. Our nationally accredited program combines a strong early learning foundation with an emphasis on curiosity, confidence, and positive behavior, helping children grow into happy, capable learners.",,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,435 W Southlake Blvd,Southlake,TX,76092,Tarrant County,Dallas-Fort Worth,32.9399239,-97.15631549999999,https://www.goddardschool.com/schools/tx/southlake/southlake,(214) 724-2746,southlaketx@goddardschools.com,8500,12000,0.93,0.89,0.85,11,0.8
rec0RW85xJyDv86wr,Class101 Of Fulshear,Tutoring,Tutoring,,local,"Tutoring Services for K-12 College Prep: SAT/ACT College Planning and Advising: Full College Planning for High School students, SAT/ACT, Essay Writing",,,,,,,True,,Tutoring: Math; Tutoring: English/Language Arts; Tutoring: Social Studies/Humanities; Tutoring: Science,,,,,,,,,8046 S Snow Bird Ave,Boise,ID,83716,Fort Bend County,Houston Area,43.5289749,-116.1015435,https://www.sylvanlearning.com,(208) 713-4165,schhabra@my-sylvan.com,,,,,,,
rec0YoQyX6CEiTuKN,Las Colinas Childrens Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1403 W Walnut Hill Ln,Irving,TX,75038,Dallas County,Dallas-Fort Worth,32.8849515,-96.97364789999999,https://www.lccatx.com,(972) 870-1616,lccatx@yahoo.com,,,,,,,
rec0ZYdzrsI2jMPkv,Radford School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,2001 Radford St,El Paso,TX,79903,El Paso County,El Paso Area,31.7948938,-106.4382677,https://www.radfordschool.org,(915) 565-2737,mxcastruita@radfordschool.org,,,,,,,
rec0b00SnG1QGtTF5,Country Kids Academy,Schools,Schools,Private School,local,"""CKA is dedicated to providing loving and educational childcare ""second only to a parent's best."" Our mission is to provide a clean, safe, stimulating, and fun environment allowing young children to flourish! Our programs educate the whole child through approaches that address multiple learning styles (visual, auditory, kinesthetic, linguistic).
 ",,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,21002 Encino Cmns,San Antonio,TX,78259,Bexar County,San Antonio Area,29.636612,-98.45085139999999,https://countrykidsacademy.com,(210) 403-2458,director@ckasat.com,,,1,0.97,,,0.98
rec0bKs86ZFJ6q6UD,Kerrville's Bright Beginnings,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,551 Meadowview Ln,Kerrville,TX,78028,Kerr County,San Antonio Area,30.0278799,-99.1198325,https://usabrightbeginnings.com/kerrville,(617) 817-4011,felipe@sflearningcenter.com,,,,,,,
rec0fUbjtxKJi9IuF,Children's Education Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,4000 N Sugar Rd,Pharr,TX,78577,Hidalgo County,Rio Grande Valley,26.2304836,-98.1897333,,(956) 702-5144,belgar_ccs19@yahoo.com,,,,,,,
rec0fumDhVcXXnHj9,Lil Leopards Learning Ladder,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1305 E Broadway St,Gainesville,TX,76240,Cooke County,North Texas,33.6259581,-97.13172080000001,https://www.lil-leopards.com,(940) 391-2819,amanda@lil-leopards.com,,,,,,,
rec0hanAG3TUNX9s0,Endless Discoveries Glen Rose,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,200 Commerce St,Glen Rose,TX,76043,Somervell County,Dallas-Fort Worth,32.2463283,-97.7443026,https://www.endlessdiscoveriescdc.com,(254) 436-8036,k.carnes@endlessdiscoveriescdc.com,,,,,,,
rec0jEmymh16i3Cb2,Rock Star Daycare Preschool,Schools,Schools,Private School,local,"Mission
Rock Star Daycare Preschool is dedicated to serving working families with high-quality childcare.  We believe in developing the whole child through physical, social, emotional, cognitive, and linguistic practices, facilitated by daily interactions.  
Excellent childcare depends upon consistent caregiving. The program is designed to include all children, including those with minimal disabilities and unique learning and developmental needs.  We want your child(ren) to be their own Rock Star.
",,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1509 Bailey Ave,Dumas,TX,79029,Moore County,Panhandle,35.87948799999999,-101.9552687,,+18064219797,meudydaycare@gmail.com,9100,9100,1,1,,12,1
rec0kXwBurkouZpKW,Spirit Life Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,925 Nas Dr,Corpus Christi,TX,78418,Nueces County,South Texas,27.6707469,-97.2821847,https://www.spiritlife-academy.org,(361) 334-7476,spiritlife.john0663@gmail.com,,,,,,,
rec0n3cf8UoWiFVyD,Cadence Academy Preschool Of Bent Tree,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,17275 Addison Rd,Addison,TX,75001,Dallas County,Dallas-Fort Worth,32.9868862,-96.83087929999999,https://www.cadence-education.com/locations/tx/addison/311,(972) 931-0868,director.benttree@cadence-academy.com,,,,,,,
rec0nIfa3Uafcs6A5,Summit Christian Academy Of Cedar Park,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,2121 Cypress Creek Rd,Cedar Park,TX,78613,Williamson County,Austin Area,30.4771357,-97.8477551,https://summiteagles.org,(512) 250-1369,jkelsey@summiteagles.org,,,,,,,
rec0qdzBx3M3n0WXc,Shoreline Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,15201 Burnet Rd,Austin,TX,78728,Travis County,Austin Area,30.4587818,-97.6933304,https://www.shorelineearlylearningcenter.com,(512) 681-3255,kathy.smith@shoreline.net,,,,,,,
rec0teErbvaQ0loRA,Elite Therapy Center,Therapy,Therapy,,local,"Outpatient Pediatric Therapy Clinic - Offering Physical Therapy, Occupational Therapy, and Speech Therapy",,,,,,,True,,Therapy: Occupational; Therapy: Physical; Therapy: Speech,,,,,,,,,601 W Loop 340,Waco,TX,76712,McLennan County,Central Texas,31.5077798,-97.1845958,https://www.elitetherapycenter.org,(254) 399-8255,kalyn.morgan@elitetherapycenter.org,,,,,,,
rec0uQ1a8LUec3caz,Children's Lighthouse Learning Center At Grand Mission,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,7307 Grand Mission Blvd,Richmond,TX,77407,Fort Bend County,Houston Area,29.6979771,-95.7180186,https://childrenslighthouse.com/grandmission,(281) 232-7733,fisk@childrenslighthouse.com,,,,,,,
rec0zNBSPa55fGXr1,Little Farmers Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1391 Business 78,Farmersville,TX,75442,Collin County,Dallas-Fort Worth,33.180051,-96.3672283,https://littlefarmers.com,(972) 782-8118,info@littlefarmers.com,,,,,,,
rec0zmu32f2ykhcDY,Kreative 4 Kidz,Schools,Schools,Private School,local,"MY CHILD CARE PHILOSOPHY 
As a childcare provider, my goal is to provide a safe and happy place for children where they can learn and grow physically, emotionally, intellectually, and socially at their own pace. I believe children learn through play and benefit from a structured yet flexible schedule. Activities will be 
offered which stimulate sensory motor development, language development and social interaction. The development of strong self-esteem is also a major goal. We will always provide an atmosphere that will allow children to be themselves using a manner able behavior.",,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,8806 Homestead Rd,Houston,TX,77016,Harris County,Houston Area,29.8411208,-95.30172650000002,,+18329257986,kreative4kidz@yahoo.com,1000,1200,0.9,0.95,,15,0.95
rec12SU3KqseTrfNw,Baytown Christian Academy,Schools,Schools,Private School,local,"BCA promotes high academic standards while helping the students to achieve skills in creative and critical thinking, using the best-integrated curriculum available.",,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,5555 N Main,Baytown,TX,77521,Harris County,Houston Area,29.7852655,-94.96524640000001,https://www.gobca.org,(281) 421-4150,headmaster@gobca.org,6500,9000,0.98,0.98,1,16,0.98
rec12yux4qX7mPRuZ,All Saints Episcopal School Tyler,Schools,Schools,Private School,local,"At All Saints Episcopal School, our approach transcends traditional education by nurturing the whole child—academically, spiritually, artistically, and athletically. We’re dedicated to cultivating well-rounded individuals who are prepared not just for success, but to make a meaningful impact in their communities and beyond. Join us in fostering a lifelong love of learning and personal growth at All Saints.",,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,"2695 Ssw Loop, Unit 323",Tyler,TX,75701,Smith County,East Texas,32.324774,-95.34168749999999,https://www.allsaintstyler.org,(903) 579-6000,admissions@all-saints.org,12975,20455,,,1,6,0.93
rec1AonKqMLanSbDk,Kiddie Academy Lakes Of Savannah,Schools,Schools,Private School,local,"Pre-K & Kindergarten (Life Essentials®)
At Kiddie Academy of Lakes of Savannah, our Pre-K and Kindergarten programs ignite a love of learning through our Life Essentials® curriculum where strong academics meet character, confidence, and curiosity. We don’t just prepare children for school; we equip them for life with hands-on discovery, leadership skills, and a warm, values-driven community that feels like family.",,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,5158 Savannah Pkwy,Rosharon,TX,77583,Brazoria County,Houston Area,29.5113139,-95.4356909,https://kiddieacademy.com/Lakesofsavannah,+18325694847,Lakesofsavannah@kiddieacademy.net,10000,13500,0.9,0.95,1,15,1
rec1Be84y3bDcOt5m,Reach Advocacy And Instruction,Tutoring,Tutoring,,local,"I provide instructional services to help students with reading and writing skills, including phonemic awareness, phonics, spelling, fluency, reading/writing comprehension, and paragraph development. I am a certified special education teacher, and I understand the importance of being flexible in my lessons. I will change and adjust my lessons to the individual needs of my students. I teach using a multisensory approach to make sure I reach all of their unique learning styles. I also incorporate executive functioning skills and positive behavior management into each of my lessons to help my students learn how to approach assignments, complete tasks, think about their own learning, and maintain attention during lessons. I want all my students to enjoy learning and build self-confidence.",,,,,,,True,,Tutoring: English/Language Arts,,,,,,,,,4040 Starlight Creek Dr,Celina,TX,75009,Collin County,Dallas-Fort Worth,33.269399,-96.788651,https://www.reach-goals.com,(919) 793-8276,ebarnes.teach@gmail.com,,,,,,,
rec1CHQSxx3sPZWEh,Everyday Speech,Enrichment,Curriculum; Enrichment,,online,"* Everyday Speech is a no-prep digital curriculum designed to accelerate the acquisition and generalization of social, emotional, and communication skills for PK-12 learners of diverse ability levels. The MTSS-aligned curriculum combines evidence-based video modeling, interactive web games, and digital and printable worksheets to make it easy for special educators, speech-language pathologists, and other student support services specialists to support every student and every tier. Everyday Speech is trusted by 55,000 educators across 5,000 districts for one-on-one interventions, small groups, and whole-class lessons that engage students.",,,,,,,True,,,,,,,,,,,"1515 E Cesar Chavez St, Ste 100 # 1008",Austin,TX,78702,Travis County,Austin Area,30.2583151,-97.72888379999999,https://everydayspeech.com,(617) 564-3143,purchasing@everydayspeech.com,,,,,,,
rec1Dlv7ui5TeNJN2,Omega Leadership Academy,Schools,Schools,Private School,local,,,,,,,,True,,,0,12,False,True,True,True,Grades K–12,EFA-Eligible,3737 Roosevelt Ave,San Antonio,TX,78214,Bexar County,San Antonio Area,29.35002979999999,-98.481882,https://omegachurch.com/ola,(210) 923-2292,r.salmon@omegachurch.com,,,,,,,
rec1Fl0hiVkbAvR8W,Legacy Christian Academy Beaumont,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,8200 Hwy 105,Beaumont,TX,77713,Jefferson County,East Texas,30.1338407,-94.2039135,https://www.legacychristianacademy.org,(409) 924-0500,jarmstrong@legacychristianacademy.org,,,,,,,
rec1FuTiDhTtkvSk0,My King's Kids Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,6255 Wichita St,Forest Hill,TX,76119,Tarrant County,Dallas-Fort Worth,32.6663448,-97.2798645,https://www.kingskidscenters.com,(817) 531-3027,mykingskids@hotmail.com,,,,,,,
rec1I8ZBKD800gZEz,Mathnasium Of Kyle,Tutoring,Tutoring,,local,Math tutoring,,,,,,,True,,Tutoring: Math,,,,,,,,,"5401 S FM 1626, # 180",Kyle,TX,78640,Hays County,Austin Area,30.0169282,-97.86322159999999,https://mathnasium.com/kyle,(979) 571-8752,jennifer.speer@mathnasium.com,,,,,,,
rec1IW4n6FgkWsIAV,Camp Blessing Texas,Enrichment,Enrichment,,local,"Come join us for an unforgettable week at Camp Blessing Texas! We are a Christian summer camp serving individuals with special needs in a safe, barrier-free, and fully adaptable 1:1 environment. Campers arrive Tuesday afternoon and stay through Saturday morning, enjoying meaningful friendships, fun activities, and life-changing experiences.",,,,,,,True,,Enrichment: Neurodivergent-Focused,,,,,,,,,7227 Camp Blessing Ln,Brenham,TX,77833,Washington County,Central Texas,30.2737101,-96.31373889999999,https://www.campblessing.org,(281) 259-5789,rachel@campblessing.org,,,,,,,
rec1IpHkzZMSuIIQd,Citizens Of The Kingdom Childcare Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,"2221 W Arkansas Ln, Ste 106B",Pantego,TX,76013,Tarrant County,Dallas-Fort Worth,32.707214,-97.14339059999999,,(817) 968-0818,tholcc_2019@yahoo.com,,,,,,,
rec1LWitmFPS5ftuV,Primrose School Of Friendswood,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,1409 S Friendswood Dr,Friendswood,TX,77546,Galveston County,Houston Area,29.5131938,-95.18853589999999,https://www.primrosefriendswood.com,(281) 648-7773,director@primrosefriendswood.com,,,,,,,
rec1NeREO0KjGb8LY,D.A.V. Montessori,Schools,Schools,Private School,local,,,,,,,,True,,,-1,5,,True,,,Grades PreK–5,EFA-Eligible,14375 Schiller Rd,Houston,TX,77082,Harris County,Houston Area,29.7174966,-95.6414214,https://davhouston.org,(281) 759-3286,davmontessori@gmail.com,,,,,,,
rec1SRiAz6HA7yqEe,Karnada L Lewis,Therapy,Therapy,,local,"To reach children and adults of all ages, offering support to individuals from diverse backgrounds and with various mental and physical disabilities. We believe in empowering everyone through engaging and purposeful activities that enhance their quality of life holistically.",,,,,,,True,,Therapy: Behavioral,,,,,,,,,"539 W Commerce, Ste 7960",Dallas,TX,75208,Dallas County,Dallas-Fort Worth,32.7733009,-96.833338,https://karnadallewisllc.wixsite.com/my-site-1,(903) 931-1774,karnadallewis.llc@gmail.com,,,,,,,
rec1SsbCztougDyH9,Johnson's Daycare & Learning Center #3,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,2104 Quail Creek Rd,Laredo,TX,78045,Webb County,South Texas,27.5889051,-99.5134362,https://www.johnsonslearning.com,(956) 333-8760,johnsonsdaycarelaredo@yahoo.com,,,,,,,
rec1SzAwSbhUXtC5A,IVy Kids At Long Meadow Farms,Schools,Schools,Private School,local,"At Ivy Kids Long Meadow Farms, we provide a thoughtfully designed early education experience that supports each child’s unique growth. Our dedicated educators foster independence, creativity, and strong foundational skills. Families value our nurturing culture, engaging classrooms, and commitment to excellence.",,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,20901 Long Meadow Farms Pkwy,Richmond,TX,77406,Fort Bend County,Houston Area,29.66073,-95.74327679999999,https://ivykids.com/richmond-tx/ivy-kids-long-meadow-farms,+12812028548,Info@ivykidslongmeadowfarms.com,,,0.99,0.97,,,0.99
rec1TjUMKEWkSfi0y,Alpha School - Spyglass,Schools,Schools,Private School,local,,,,,,,,True,,,-1,5,,True,,,Grades PreK–5,EFA-Eligible,1201 Spyglass Dr,Austin,TX,78746,Travis County,Austin Area,30.2629814,-97.7847839,,(512) 595-0801,tefa@alpha.school,,,,,,,
rec1WNQ2GGBwUHgU8,St. Joseph Catholic School Edinburg,Schools,Schools,Private School,local,"St. Joseph Catholic School is a small Catholic school focused on community, academic excellence, faith formation, and educating the whole child. With classroom sizes under 15 students (18 months old to 8th grade), we are able to give attention to each child and consistently work on academic and spiritual growth.",,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,119 W Fay St,Edinburg,TX,78539,Hidalgo County,Rio Grande Valley,26.2979221,-98.163905,https://sjcsedinburg.org,(956) 383-3957,sjs-secretary@cdobcs.org,,,,,1,12,
rec1XaYwfFrQ67COL,Carousel Learning Academy Of Laredo Heights,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,702 Laredo St,Laredo,TX,78040,Webb County,South Texas,27.4573035,-99.4780907,,(956) 740-5065,reygonz84@gmail.com,,,,,,,
rec1aKBRA1cQsLldd,Early Care And Education Arlington,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,2501 Ballpark Way,Arlington,TX,76006,Tarrant County,Dallas-Fort Worth,32.7775735,-97.0739277,https://earlycareandeducation.com,(210) 640-9544,varmke@lanternlearninggroup.com,,,,,,,
rec1aZywCZw9sqnHt,As We Grow Learning Center #2,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,9802 N Houston Rosslyn Rd,Houston,TX,77088,Harris County,Houston Area,29.884949,-95.49364969999999,,(346) 219-0835,info@awglearning.com,,,,,,,
rec1dhnew0eTKAK66,Ivy Crest Academy Of Camino Bandera,Schools,Schools,Private School,local,,,,,,,,True,,,0,0,False,True,False,False,Grades K–K,EFA-Eligible,10002 Camino Bandera,San Antonio,TX,78254,Bexar County,San Antonio Area,29.5350461,-98.6492825,https://www.ivycrestsa.com,(210) 523-1100,aquinonez@krksa.com,,,,,,,
rec1efrOXutNX7tcy,The Clubhouse,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,7911 N Twin City Hwy,Port Arthur,TX,77642,Jefferson County,East Texas,29.959402,-93.9679523,,(409) 727-5555,the-clubhouse@hotmail.com,,,,,,,
rec1iPvJyzwgDlUqT,John Paul II High School,Schools,Schools,Private School,local,,,,,,,,True,,,9,12,False,False,False,True,Grades 9–12,EFA-Eligible,900 Coit Rd,Plano,TX,75075,Collin County,Dallas-Fort Worth,33.0128452,-96.7644069,https://www.johnpauliihs.org,(972) 867-0005,danielledbetter@johnpauliihs.org,,,,,,,
rec1jYWTDTGDUpW5K,Sa Liberty Field Prep School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,10606 Liberty Fld,San Antonio,TX,78254,Bexar County,San Antonio Area,29.5072931,-98.70061059999999,https://www.krklibertyfield.com,(210) 681-5437,sharon@krklibertyfield.com,,,,,,,
rec1jcdRDUprC5JKV,Bethesda Christian School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,4700 N Beach St,Haltom City,TX,76137,Tarrant County,Dallas-Fort Worth,32.8297533,-97.28924889999999,https://bethesdachristianschool.org,(817) 581-5131,rdugas@bcsfw.org,,,,,,,
rec1k6rtOMGYN6cgR,St. Paul's Lutheran Child Development Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,106 211 Roseborough St 2302 S Presa,San Antonio,TX,78210,Bexar County,San Antonio Area,29.3985718,-98.4814598,https://stpaulcdc.org,(210) 534-8577,deborahs@stpaulsa.org,,,,,,,
rec1kXXvIucG7UkoA,Ace Academy,Schools,Schools,Private School,local,,,,,,,,True,,,0,8,False,True,True,False,Grades K–8,EFA-Eligible,5206 Balcones Dr,Austin,TX,78731,Travis County,Austin Area,30.3351968,-97.760044,https://austingifted.org,(512) 206-4070,dkimball@austingifted.org,,,,,,,
